2025-04-25T19:35:52.334922+0530 INFO Initializing QueryRetrieval...
2025-04-25T19:35:56.404772+0530 INFO QueryRetrieval initialized successfully.
2025-04-25T19:35:56.407271+0530 INFO Total stored documents: 0
2025-04-25T19:36:43.597961+0530 INFO Received request to ingest PDFs from folder: D:\NCERT\CLASS9\eCONOMICS
2025-04-25T19:36:43.601370+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c4.pdf
2025-04-25T19:36:57.383636+0530 DEBUG Stored chunk 44 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.440296+0530 DEBUG Stored chunk 45 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.497857+0530 DEBUG Stored chunk 46 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.555492+0530 DEBUG Stored chunk 47 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.613515+0530 DEBUG Stored chunk 48 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.670164+0530 DEBUG Stored chunk 49 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.748429+0530 DEBUG Stored chunk 50 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.819919+0530 DEBUG Stored chunk 51 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.884735+0530 DEBUG Stored chunk 52 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.952661+0530 DEBUG Stored chunk 53 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.017746+0530 DEBUG Stored chunk 54 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.075483+0530 DEBUG Stored chunk 55 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.139667+0530 DEBUG Stored chunk 56 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.183847+0530 DEBUG Stored chunk 57 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.251493+0530 DEBUG Stored chunk 58 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.318305+0530 DEBUG Stored chunk 59 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.365433+0530 DEBUG Stored chunk 60 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.436265+0530 DEBUG Stored chunk 61 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.504915+0530 DEBUG Stored chunk 62 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.591785+0530 DEBUG Stored chunk 63 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.654376+0530 DEBUG Stored chunk 64 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.706468+0530 DEBUG Stored chunk 65 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.758671+0530 DEBUG Stored chunk 66 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.798522+0530 DEBUG Stored chunk 67 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
